timestamp,value,lower,mid,upper,bias_corrected
2021-04-06,8.448372916666665,4.976381098717789,9.613328,15.819423899907022,9.311274
2021-04-08,29.296084,10.48951004551693,18.414434,24.15061570385745,19.298208
2021-04-10,13.913977666666666,6.762045986929697,12.786685,18.3990218214573,13.62492
2021-04-12,5.840645923076924,4.871016011122683,9.581481,16.624205274470743,9.415586
2021-04-14,11.800849555555557,5.269365184427212,10.11725,17.296209001145336,11.5861225
2021-04-16,15.863090307692307,7.700324580385809,14.136091,20.46377992629386,14.768701
2021-04-18,8.6815345,8.894708552795338,16.801773,22.25725757692758,15.634542
2021-04-20,19.246388,8.534873459660098,15.259857,21.233771883669903,16.741646
2021-04-22,18.6101187,8.97413338649768,17.946295,25.976127626144024,18.974815
2021-04-24,22.750975,10.264275374583555,17.866234,24.727614156335918,20.471287
